loannumber,dateapproved,sbaofficecode,processingmethod,borrowername,borroweraddress,borrowercity,borrowerstate,borrowerzip,loanstatusdate,loanstatus,term,sbaguarantypercentage,initialapprovalamount,currentapprovalamount,undisbursedamount,franchisename,servicinglenderlocationid,servicinglendername,servicinglenderaddress,servicinglendercity,servicinglenderstate,servicinglenderzip,ruralurbanindicator,hubzoneindicator,lmiindicator,businessagedescription,projectcity,projectcountyname,projectstate,projectzip,cd,jobsreported,naicscode,race,ethnicity,utilities_proceed,payroll_proceed,mortgage_interest_proceed,rent_proceed,refinance_eidl_proceed,health_care_proceed,debt_interest_proceed,businesstype,originatinglenderlocationid,originatinglender,originatinglendercity,originatinglenderstate,gender,veteran,nonprofit,forgivenessamount,forgivenessdate
8383477205,04/28/2020,0549,PPP,THE BBQ ALLIANCE LLC,5757 MAYFAIR RD,NORTH CANTON,OH,44720-1546,01/20/2021,Paid in Full,24,100,57000,57000,0,,53390,The Farmers National Bank of Canfield,20 S Broad St,Canfield,OH,44406-1401,U,N,N,Existing or more than 2 years old,NORTH CANTON,SUMMIT,OH,44720-1546,OH-13,14,722511,Unanswered,Unknown/NotStated,,57000,,,,,,Limited  Liability Company(LLC),53390,The Farmers National Bank of Canfield,Canfield,OH,Unanswered,Unanswered,,57343.58,12/08/2020
8814947000,04/08/2020,0549,PPP,PRAPTI DONUTS INC,4140 LEE RD,CLEVELAND,OH,44128-2144,11/17/2021,Paid in Full,24,100,57000,57000,0,Dunkin' Donuts,57328,The Huntington National Bank,17 S High St.,COLUMBUS,OH,43215-3413,U,N,Y,Existing or more than 2 years old,CLEVELAND,CUYAHOGA,OH,44128-2144,OH-11,13,445291,Asian,Not Hispanic or Latino,,57000,,,,,,Corporation,57328,The Huntington National Bank,COLUMBUS,OH,Male Owned,Non-Veteran,,57460.68,02/17/2021
8937817105,04/15/2020,0593,PPP,A PLUS PROPANE LLC,8622 US ROUTE 127,PAULDING,OH,45879-9406,05/08/2021,Paid in Full,24,100,57000,57000,0,,84349,Premier Bank,275 W Federal St,YOUNGSTOWN,OH,44503,R,N,N,Existing or more than 2 years old,PAULDING,PAULDING,OH,45879-9406,OH-05,7,424720,Unanswered,Unknown/NotStated,,57000,,,,,,Limited  Liability Company(LLC),84349,Premier Bank,YOUNGSTOWN,OH,Unanswered,Unanswered,,57570,04/20/2021
9001248703,04/08/2021,0549,PPP,WOMEN NETWORKING IN ELECTRONIC TRANSACTI,1675 E Main St PMB 173,Kent,OH,44240-5818,03/18/2022,Paid in Full,60,100,57000,57000,0,,48270,"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240-2031,R,Y,N,Existing or more than 2 years old,Kent,PORTAGE,OH,44240-5818,OH-14,3,813910,Unanswered,Unknown/NotStated,,57000,,,,,,501(c)3 � Non Profit,48270,"JPMorgan Chase Bank, National Association",COLUMBUS,OH,Unanswered,Unanswered,,57474.81,02/10/2022
9072847304,05/01/2020,0593,PPP,ROSEMOUNT GIOS INC,4438 old scioto trail,portsmouth,OH,45662,04/21/2021,Paid in Full,24,100,57000,57000,0,,434162,"Citizens Bank, National Association",1 Citizens Plaza,PROVIDENCE,RI,02903-1344,R,Y,N,Existing or more than 2 years old,portsmouth,SCIOTO,OH,45662-0001,OH-02,13,722511,Unanswered,Unknown/NotStated,,57000,,,,,,Subchapter S Corporation,434162,"Citizens Bank, National Association",PROVIDENCE,RI,Unanswered,Unanswered,,57498.16,03/22/2021
9078468403,02/14/2021,0593,PPS,T D & ASSOCIATES LLC,7175 Walnut Creek Dr,Liberty Twp,OH,45011-9145,07/10/2021,Paid in Full,60,100,57000,57000,0,,57811,First Financial Bank,255 E Fifth St Ste 700,CINCINNATI,OH,45202-4700,U,N,N,Existing or more than 2 years old,Liberty Twp,BUTLER,OH,45011-9145,OH-08,4,811490,Unanswered,Unknown/NotStated,1,56995,,,,,,Limited  Liability Company(LLC),57811,First Financial Bank,CINCINNATI,OH,Unanswered,Unanswered,,57184.27,06/15/2021
9156317208,04/28/2020,0593,PPP,ST PAUL AME CHURCH,639 E LONG ST,COLUMBUS,OH,43215-1746,09/14/2021,Paid in Full,24,100,57000,57000,0,,44449,"PNC Bank, National Association",222 Delaware Ave,WILMINGTON,DE,19801-1621,U,Y,N,Unanswered,COLUMBUS,FRANKLIN,OH,43215-1746,OH-15,6,813110,Unanswered,Unknown/NotStated,,57000,,,,,,Professional Association,44449,"PNC Bank, National Association",WILMINGTON,DE,Unanswered,Unanswered,,57753.67,08/23/2021
9278087100,04/15/2020,0593,PPP,H D ACQUISITION ENTERPRISES LLC,400 TECHNE CENTER DR,MILFORD,OH,45150-2746,02/12/2021,Paid in Full,24,100,57000,57000,0,,44449,"PNC Bank, National Association",222 Delaware Ave,WILMINGTON,DE,19801-1621,U,N,N,Existing or more than 2 years old,MILFORD,CLERMONT,OH,45150-2746,OH-02,6,533110,Unanswered,Unknown/NotStated,,57000,,,,,,Subchapter S Corporation,44449,"PNC Bank, National Association",WILMINGTON,DE,Unanswered,Unanswered,,57402.17,01/07/2021
9584447110,04/15/2020,0549,PPP,TIFFIN PSYCHIATRY CENTER LLC,"668 Miami St, Suite B",TIFFIN,OH,44883,12/16/2021,Paid in Full,24,100,57000,57000,0,,57578,The Croghan Colonial Bank,323 Croghan St,FREMONT,OH,43420-3013,R,N,N,Existing or more than 2 years old,TIFFIN,SENECA,OH,44883-0001,OH-05,6,621112,Unanswered,Unknown/NotStated,7125,42750,,7125,,,,Limited  Liability Company(LLC),57578,The Croghan Colonial Bank,FREMONT,OH,Unanswered,Unanswered,,57725.17,07/27/2021
9590827004,04/09/2020,0549,PPP,THE HAYLETT CORPORATION,4699 State Route 82,MANTUA,OH,44255-9659,05/21/2021,Paid in Full,24,100,57000,57000,0,,53390,The Farmers National Bank of Canfield,20 S Broad St,Canfield,OH,44406-1401,R,N,N,Existing or more than 2 years old,MANTUA,PORTAGE,OH,44255-9659,OH-14,10,447110,Unanswered,Unknown/NotStated,,57000,,,,,,Subchapter S Corporation,57452,"Cortland Bank, A Division of The Farmers National Bank of Canfield",Cortland,OH,Male Owned,Unanswered,,57598.5,04/30/2021
